PONOT2016121379700HEINÄVESI                     HEINÄVESI                                             198811011FI131Etelä-Savo                    Södra Savolax                 090Heinävesi           Heinävesi           1
PONOT2016121386240PYHÄNKOSKI                    PYHÄNKOSKI                                            198601011FI1A2Pohjois-Pohjanmaa             Norra Österbotten             483Merijärvi           Merijärvi           1
PONOT2016121397390KIERINKI                      KIERINKI                                              198601011FI1A3Lappi                         Lappland                      758Sodankylä           Sodankylä           1
PONOT2016121300900HELSINKI                      HELSINGFORS                   HKI         HFORS       198810011FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016121302760ESPOO                         ESBO                                                  199608291FI181Uusimaa                       Nyland                        049Espoo               Esbo                2
PONOT2016121307590HUUVARI                       HUUVARI                                               198601011FI181Uusimaa                       Nyland                        018Askola              Askola              1
PONOT2016121313720PAROLA                        PAROLA                                                198810011FI184Kanta-Häme                    Egentliga Tavastland          082Hattula             Hattula             1
PONOT2016121350350NOROLA                        NOROLA                                                198801011FI131Etelä-Savo                    Södra Savolax                 491Mikkeli             St Michel           1
PONOT2016121355700IMATRA                        IMATRA                                                198811011FI187Etelä-Karjala                 Södra Karelen                 153Imatra              Imatra              1
PONOT2016121356800SIMPELE                       SIMPELE                                               199703031FI187Etelä-Karjala                 Södra Karelen                 689Rautjärvi           Rautjärvi           1
PONOT2016121364260KASKINEN                      KASKÖ                                                 199706161FI195Pohjanmaa                     Österbotten                   231Kaskinen            Kaskö               2
PONOT2016121370101KUOPIO                        KUOPIO                                                198903132FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2016121374250NISSILÄ                       NISSILÄ                                               198601011FI132Pohjois-Savo                  Norra Savolax                 925Vieremä             Vieremä             1
PONOT2016121380130JOENSUU                       JOENSUU                       JS                      199610011FI133Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2016121303220TERVALAMPI                    TERVALAMPI                                            198804051FI181Uusimaa                       Nyland                        927Vihti               Vichtis             1
PONOT2016121307910VALKO                         VALKOM                                                198811011FI181Uusimaa                       Nyland                        434Loviisa             Lovisa              2
PONOT2016121314610LEPAA                         LEPAA                                                 199904061FI184Kanta-Häme                    Egentliga Tavastland          082Hattula             Hattula             1
PONOT2016121315141LAHTI                         LAHTI                                                 199001012FI185Päijät-Häme                   Päijänne-Tavastland           398Lahti               Lahtis              1
PONOT2016121319650JOUTSA                        JOUTSA                                                198811011FI193Keski-Suomi                   Mellersta Finland             172Joutsa              Joutsa              1
